order_id,customer_id,order_date,order_amount,currency
1063,14,2025-04-08,431.04,USD
1064,95,2025-12-14,214.16,USD
1065,48,2025-09-01,446.13,USD
1066,15,2025-11-18,428.45,USD
1067,40,2025-05-20,469.1,USD
1068,82,2025-11-22,396.96,USD
1069,111,2025-09-04,341.11,USD
1070,53,2026-01-26,298.73,USD
1071,24,2026-01-25,198.7,USD
1072,124,2025-05-07,471.26,USD
1073,41,2025-11-23,487.36,USD
1074,15,2025-04-19,156.28,USD
1075,45,2025-05-05,166.57,USD
1076,65,2025-09-04,253.09,USD
1077,89,2025-05-11,235.24,USD
1078,71,2025-09-11,497.34,USD
1079,9,2026-01-20,104.44,USD
1080,88,2026-01-26,28.68,USD
1081,129,2025-10-11,257.07,USD
1082,136,2025-10-02,105.83,USD
1083,63,2025-12-09,195.91,USD
1084,139,2025-11-13,377.2,USD
1085,81,2025-08-25,366.05,USD
1086,136,2025-08-12,167.87,USD
1087,33,2026-01-24,280.42,USD
1088,123,2025-11-22,264.23,USD
1089,5,2025-10-02,325.44,USD
1090,41,2025-12-26,140.22,USD
1091,28,2025-12-25,303.14,USD
1092,135,2025-04-01,489.87,USD
1093,72,2026-01-15,253.64,USD
1094,12,2025-09-23,454.93,USD
1095,33,2025-11-16,228.51,USD
1096,48,2025-08-15,188.04,USD
1097,62,2025-10-05,329.65,USD
1098,37,2025-12-26,341.08,USD
1099,99,2025-06-21,434.8,USD
1100,104,2025-08-19,130.49,USD
1101,35,2025-08-31,259.61,USD
1102,101,2025-04-07,294.56,USD
1103,131,2025-12-24,388.91,USD
1104,1,2025-11-12,40.93,USD
1105,5,2025-06-22,497.38,USD
1106,142,2025-12-02,245.57,USD
1107,103,2025-12-31,154.19,USD
1108,27,2025-11-04,444.08,USD
1109,137,2025-07-10,378.91,USD
1110,15,2025-02-20,477.47,USD
1111,90,2025-01-31,178.76,USD
1112,42,2026-01-08,285.33,USD
1113,124,2025-03-16,294.7,USD
1114,63,2025-09-04,490.56,USD
1115,96,2025-06-07,56.17,USD
1116,52,2025-12-18,166.73,USD
1117,96,2025-05-11,111.64,USD
1118,132,2025-09-17,148.87,USD
1119,143,2026-01-29,252.93,USD
1120,29,2025-02-13,198.89,USD
1121,36,2025-08-21,209.45,USD
1122,13,2025-09-21,425.22,USD
1123,71,2025-06-08,466.41,USD
1124,86,2025-06-13,53.8,USD
1125,28,2025-08-22,120.28,USD
1126,66,2025-02-17,342.15,USD
1127,45,2026-01-07,192.15,USD
1128,62,2025-07-19,142.0,USD
1129,134,2025-03-04,161.74,USD
1130,28,2025-07-12,174.82,USD
1131,28,2025-08-26,427.36,USD
1132,108,2025-07-10,85.58,USD
1133,44,2026-01-02,360.28,USD
1134,84,2025-11-10,285.35,USD
1135,30,2025-10-17,162.32,USD
1136,75,2026-01-10,221.49,USD
1137,128,2025-09-04,142.98,USD
1138,92,2025-05-03,313.53,USD
1139,129,2025-04-07,59.17,USD
1140,121,2026-01-01,22.49,USD
1141,27,2026-01-19,321.39,USD
1142,121,2025-06-23,113.25,USD
1143,116,2025-11-16,54.05,USD
1144,3,2025-08-09,210.46,USD
1145,103,2026-01-24,44.37,USD
1146,137,2025-07-22,445.58,USD
1147,62,2025-04-10,33.26,USD
1148,51,2025-07-05,297.86,USD
1149,59,2025-12-19,230.47,USD
1150,118,2025-04-28,342.57,USD
